Buyer,Seller,Transaction_Amount,Date,Time,Security,Price
Sneha,Arjun,562143.12,28-09-2025,15:50:43,ICICIBANK,1232.77
Bob,Harish,448692.72,05-12-2025,18:59:43,HDFC,2670.79
Varun,David,46590.28,22-06-2025,17:25:31,TSLA,2117.74
Eve,Frank,592339.5,19-07-2025,06:44:16,NVDA,2218.5
Divya,Sneha,587490.7,15-11-2025,21:06:37,HDFC,1697.95
Kiran,Charlie,84156.3,25-10-2025,19:24:40,SBIN,197.55
Sneha,Jack,278680.33,13-11-2025,15:14:08,ADANIENT,681.37
Eve,Ivy,395597.1,23-09-2025,04:55:00,INFY,2082.09
Alice,Lakshmi,890542.8,18-12-2025,10:52:01,NVDA,2473.73
Rohit,Manoj,461708.2,18-12-2025,03:14:54,RELIANCE,1247.86
Farhan,Varun,447972.79,13-12-2025,16:50:01,AMZN,1922.63
Arjun,Farhan,203486.48,02-07-2025,05:03:42,META,820.51
Grace,Jack,1153866.88,06-11-2025,23:26:57,RELIANCE,2519.36
Varun,Eve,904347.57,17-10-2025,11:40:06,MSFT,2117.91
Divya,Frank,401068.36,15-07-2025,09:50:20,HDFC,2604.34
Chetan,Jaya,46981.08,25-12-2025,06:18:41,AAPL,127.32
Alice,Jack,890370.02,13-08-2025,06:11:30,AMZN,2037.46
Kiran,Manoj,79363.57,02-07-2025,23:27:55,TCS,313.69
Hannah,Jack,121162.24,30-07-2025,11:07:41,GOOGL,322.24
Neha,Arjun,134636.13,21-11-2025,14:42:12,AAPL,297.21
Bob,Farhan,187991.76,11-12-2025,00:00:27,MSFT,712.09
Sneha,Neha,1283858.62,06-06-2025,20:56:13,TSLA,2636.26
Arjun,Jack,307487.32,23-12-2025,03:09:07,ADANIENT,2421.16
Chetan,Harish,25927.08,16-10-2025,10:19:14,RELIANCE,2160.59
Harish,Farhan,150919.2,03-10-2025,04:19:01,GOOGL,1775.52
Bhavna,Manoj,232382.1,07-09-2025,23:38:46,HDFC,2472.15
Ivy,Alice,684560.25,02-10-2025,17:35:11,MSFT,1610.73
Arjun,Chetan,83788.5,04-09-2025,18:15:41,ICICIBANK,336.5
Ivy,David,152024.34,17-06-2025,20:32:07,TSLA,1949.03
Varun,Neha,10706.96,23-08-2025,17:31:08,TSLA,486.68
Frank,Rohit,918225,25-11-2025,01:20:09,AAPL,2623.5
Manoj,Jaya,78696.9,08-07-2025,06:53:06,ICICIBANK,1748.82
Bob,Bhavna,424401.12,13-06-2025,06:07:06,AAPL,1483.92
Frank,Hannah,103126.32,18-07-2025,23:28:01,ADANIENT,1778.04
Hannah,Rohit,933759.68,23-10-2025,17:47:11,NVDA,2382.04
Frank,Manoj,1199283.12,24-12-2025,05:31:26,META,2682.96
Gauri,Lakshmi,797162.73,12-07-2025,02:18:51,NFLX,2114.49
Lakshmi,Neha,759732.48,11-06-2025,13:39:59,AMZN,2221.44
Charlie,Arjun,1018019.76,27-10-2025,18:18:27,NFLX,2073.36
Gauri,Arjun,188664.78,12-09-2025,17:16:41,AAPL,666.66
Manoj,Harish,532458.34,21-09-2025,14:29:19,TSLA,2787.74
Chetan,Manoj,58277.39,19-06-2025,15:57:18,MSFT,357.53
Alice,Farhan,96742.08,16-06-2025,04:54:29,ADANIENT,1791.52
Neha,Chetan,665273.05,06-08-2025,23:48:02,INFY,1764.65
Kiran,Ivy,59213.04,20-12-2025,19:26:54,MSFT,1741.56
Bhavna,Grace,667199,20-10-2025,17:08:59,HDFC,2052.92
Arjun,Ivy,805653.66,03-09-2025,13:12:57,MSFT,1668.02
Jack,Arjun,467586,04-06-2025,01:47:29,HDFC,2226.6
Frank,David,1001538,07-10-2025,14:23:11,RELIANCE,2225.64
Varun,David,601982.64,15-08-2025,02:21:08,INFY,1328.88
Lakshmi,Rohit,314690.25,12-12-2025,01:29:21,MSFT,1798.23
Hannah,Varun,431477.66,27-12-2025,16:14:02,RELIANCE,1472.62
Ivy,Kiran,408154.28,01-11-2025,16:17:57,AAPL,2372.99
Arjun,Charlie,641722.51,03-11-2025,00:26:21,INFY,2283.71
Eve,Alice,129976.08,07-08-2025,14:27:07,AAPL,833.18
Farhan,Grace,1283539.5,15-12-2025,01:43:50,AAPL,2852.31
David,Rohit,810461.16,11-06-2025,12:38:28,NVDA,1699.08
Sneha,Lakshmi,415876.8,03-06-2025,18:13:50,ICICIBANK,1506.8
Kiran,Arjun,32547.99,29-12-2025,17:33:52,META,756.93
Manoj,Arjun,244912.4,27-08-2025,18:33:50,MSFT,790.04
Manoj,Bob,55742.4,04-12-2025,06:45:18,AMZN,1393.56
